Site,Type,Date,Number,Class,Site,Item,Qty,Amount,Balance
Petrol Tank 01,Invoice,2025-10-01,CR/INV/2526/07310,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,183.110,"46,398.31","46,398.31"
,Invoice,2025-10-01,CR/INV/2526/07311,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,49.164,"12,457.63","58,855.93"
,Invoice,2025-10-01,CR/INV/2526/07312,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,426.491,"108,068.64","166,924.58"
,Invoice,2025-10-01,CR/INV/2526/07313,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,107.358,"27,203.39","194,127.97"
,Invoice,2025-10-01,CR/INV/2526/07314,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.847,"1,734.89","195,862.86"
,Invoice,2025-10-01,CR/INV/2526/07315,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,30.000,"7,601.70","203,464.55"
,Invoice,2025-10-01,CR/INV/2526/07316,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","204,984.89"
,Invoice,2025-10-01,CR/INV/2526/07317,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.830,"2,237.43","207,222.32"
,Invoice,2025-10-01,CR/INV/2526/07318,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.040,"2,290.64","209,512.97"
,Invoice,2025-10-01,CR/INV/2526/07319,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,28.000,"7,094.92","216,607.88"
,Invoice,2025-10-01,CR/INV/2526/07320,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","218,128.22"
,Invoice,2025-10-01,CR/INV/2526/07321,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","219,648.56"
,Invoice,2025-10-01,CR/INV/2526/07322,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","221,168.90"
,Invoice,2025-10-01,CR/INV/2526/07323,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,5.000,"1,266.95","222,435.85"
,Invoice,2025-10-01,CR/INV/2526/07330,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,484.434,"122,750.85","345,186.69"
,Invoice,2025-10-01,CR/INV/2526/07331,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,25.590,"6,484.25","351,670.94"
,Invoice,2025-10-01,CR/INV/2526/07332,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.000,"2,280.51","353,951.45"
,Cash Sales,2025-10-01,CASH/INV/2425/02050,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,529.726,"134,227.25","488,178.69"
,Cash Sales,2025-10-01,CASH/INV/2425/02051,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,506.434,"128,325.36","616,504.06"
,Cash Sales,2025-10-01,CASH/INV/2425/02055,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,127.000,"32,180.53","648,684.59"
,Cash Sales,2025-10-01,CASH/INV/2425/02057,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1650.976,"418,340.70","1,067,025.29"
,Invoice,2025-10-02,CR/INV/2526/07355,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,783.227,"198,461.86","1,265,487.15"
,Invoice,2025-10-02,CR/INV/2526/07356,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,31.340,"7,941.24","1,273,428.39"
,Invoice,2025-10-02,CR/INV/2526/07357,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,35.760,"9,061.22","1,282,489.61"
,Invoice,2025-10-02,CR/INV/2526/07358,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.000,"1,013.56","1,283,503.17"
,Invoice,2025-10-02,CR/INV/2526/07359,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,28.100,"7,120.25","1,290,623.42"
,Invoice,2025-10-02,CR/INV/2526/07360,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.000,"2,027.12","1,292,650.54"
,Invoice,2025-10-02,CR/INV/2526/07361,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","1,294,170.88"
,Invoice,2025-10-02,CR/INV/2526/07380,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,716.454,"181,542.37","1,475,713.25"
,Invoice,2025-10-02,CR/INV/2526/07381,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,32.441,"8,220.34","1,483,933.59"
,Invoice,2025-10-02,CR/INV/2526/07382,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,10.000,"2,533.90","1,486,467.49"
,Invoice,2025-10-02,CR/INV/2526/07383,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,35.000,"8,868.64","1,495,336.13"
,Invoice,2025-10-02,CR/INV/2526/07384,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,41.890,"10,614.50","1,505,950.63"
,Invoice,2025-10-02,CR/INV/2526/07385,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,33.445,"8,474.58","1,514,425.21"
,Cash Sales,2025-10-02,CASH/INV/2425/02066,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,47.573,"12,054.57","1,526,479.78"
,Cash Sales,2025-10-02,CASH/INV/2425/02067,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,118.000,"29,900.02","1,556,379.79"
,Cash Sales,2025-10-02,CASH/INV/2425/02076,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1897.769,"480,875.80","2,037,255.59"
,Cash Sales,2025-10-02,CASH/INV/2425/02077,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,119.000,"30,153.41","2,067,409.00"
,Invoice,2025-10-03,CR/INV/2526/07410,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,653.515,"165,594.07","2,233,003.07"
,Invoice,2025-10-03,CR/INV/2526/07411,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,94.859,"24,036.44","2,257,039.51"
,Invoice,2025-10-03,CR/INV/2526/07412,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.610,"2,435.04","2,259,474.55"
,Invoice,2025-10-03,CR/INV/2526/07413,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1.000,253.39,"2,259,727.94"
,Invoice,2025-10-03,CR/INV/2526/07414,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.600,"2,432.54","2,262,160.48"
,Invoice,2025-10-03,CR/INV/2526/07415,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,33.940,"8,600.05","2,270,760.53"
,Invoice,2025-10-03,CR/INV/2526/07416,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,36.720,"9,304.48","2,280,065.01"
,Invoice,2025-10-03,CR/INV/2526/07417,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.000,"2,027.12","2,282,092.13"
,Invoice,2025-10-03,CR/INV/2526/07418,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,5.860,"1,484.86","2,283,576.99"
,Invoice,2025-10-03,CR/INV/2526/07419,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,183.813,"46,576.27","2,330,153.26"
,Invoice,2025-10-03,CR/INV/2526/07444,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,783.448,"198,517.80","2,528,671.06"
,Invoice,2025-10-03,CR/INV/2526/07445,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,10.033,"2,542.37","2,531,213.43"
,Invoice,2025-10-03,CR/INV/2526/07446,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.940,"1,758.53","2,532,971.96"
,Invoice,2025-10-03,CR/INV/2526/07447,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,10.610,"2,688.47","2,535,660.42"
,Invoice,2025-10-03,CR/INV/2526/07448,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,27.760,"7,034.10","2,542,694.52"
,Cash Sales,2025-10-03,CASH/INV/2425/02086,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,337.896,"85,619.50","2,628,314.02"
,Cash Sales,2025-10-03,CASH/INV/2425/02087,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,582.187,"147,520.47","2,775,834.49"
,Cash Sales,2025-10-03,CASH/INV/2425/02093,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1683.209,"426,508.31","3,202,342.80"
,Invoice,2025-10-04,CR/INV/2526/07452,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,253.110,"64,135.59","3,266,478.40"
,Invoice,2025-10-04,CR/INV/2526/07453,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,61.538,"15,593.22","3,282,071.62"
,Invoice,2025-10-04,CR/INV/2526/07472,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,651.240,"165,017.80","3,447,089.41"
,Invoice,2025-10-04,CR/INV/2526/07473,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,77.257,"19,576.27","3,466,665.69"
,Cash Sales,2025-10-04,CASH/INV/2425/02095,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,403.351,"102,205.20","3,568,870.89"
,Cash Sales,2025-10-04,CASH/INV/2425/02105,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2113.502,"535,540.31","4,104,411.20"
,Invoice,2025-10-05,CR/INV/2526/07480,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,722.461,"183,064.41","4,287,475.61"
,Invoice,2025-10-05,CR/INV/2526/07481,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,74.582,"18,898.31","4,306,373.91"
,Invoice,2025-10-05,CR/INV/2526/07495,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,678.367,"171,891.53","4,478,265.44"
,Invoice,2025-10-05,CR/INV/2526/07496,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,51.672,"13,093.22","4,491,358.66"
,Invoice,2025-10-05,CR/INV/2526/07497,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.000,506.78,"4,491,865.44"
,Invoice,2025-10-05,CR/INV/2526/07498,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.000,506.78,"4,492,372.22"
,Invoice,2025-10-05,CR/INV/2526/07499,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.000,506.78,"4,492,879.00"
,Invoice,2025-10-05,CR/INV/2526/07500,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","4,494,399.34"
,Invoice,2025-10-05,CR/INV/2526/07501,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.000,"2,027.12","4,496,426.46"
,Invoice,2025-10-05,CR/INV/2526/07502,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","4,497,946.80"
,Invoice,2025-10-05,CR/INV/2526/07503,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.000,"2,027.12","4,499,973.92"
,Invoice,2025-10-05,CR/INV/2526/07504,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.000,"2,027.12","4,502,001.03"
,Invoice,2025-10-05,CR/INV/2526/07505,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","4,503,521.37"
,Invoice,2025-10-05,CR/INV/2526/07506,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.000,"2,027.12","4,505,548.49"
,Cash Sales,2025-10-05,CASH/INV/2425/02110,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,26.957,"6,830.64","4,512,379.14"
,Cash Sales,2025-10-05,CASH/INV/2425/02119,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2310.960,"585,574.25","5,097,953.39"
,Invoice,2025-10-06,CR/INV/2526/07512,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,524.809,"132,981.36","5,230,934.75"
,Invoice,2025-10-06,CR/INV/2526/07513,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,37.759,"9,567.80","5,240,502.54"
,Invoice,2025-10-06,CR/INV/2526/07514,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.719,688.98,"5,241,191.53"
,Invoice,2025-10-06,CR/INV/2526/07515,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.000,506.78,"5,241,698.31"
,Invoice,2025-10-06,CR/INV/2526/07516,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.000,506.78,"5,242,205.09"
,Invoice,2025-10-06,CR/INV/2526/07517,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.000,506.78,"5,242,711.87"
,Invoice,2025-10-06,CR/INV/2526/07518,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.000,506.78,"5,243,218.65"
,Invoice,2025-10-06,CR/INV/2526/07520,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,369.715,"93,682.20","5,336,900.85"
,Cash Sales,2025-10-06,CASH/INV/2425/02125,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,45.713,"11,583.15","5,348,484.00"
,Cash Sales,2025-10-06,CASH/INV/2425/02130,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,826.285,"209,372.24","5,557,856.24"
,Invoice,2025-10-07,CR/INV/2526/07544,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,595.745,"150,955.93","5,708,812.17"
,Invoice,2025-10-07,CR/INV/2526/07545,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,34.247,"8,677.97","5,717,490.14"
,Invoice,2025-10-07,CR/INV/2526/07546,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,81.610,"20,679.14","5,738,169.28"
,Invoice,2025-10-07,CR/INV/2526/07547,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.398,"2,381.36","5,740,550.64"
,Invoice,2025-10-07,CR/INV/2526/07548,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,22.580,"5,721.54","5,746,272.18"
,Invoice,2025-10-07,CR/INV/2526/07584,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,232.207,"58,838.98","5,805,111.16"
,Invoice,2025-10-07,CR/INV/2526/07585,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,55.351,"14,025.42","5,819,136.59"
,Invoice,2025-10-07,CR/INV/2526/07586,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,3.344,847.46,"5,819,984.04"
,Invoice,2025-10-07,CR/INV/2526/07587,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,30.000,"7,601.70","5,827,585.74"
,Invoice,2025-10-07,CR/INV/2526/07588,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.000,"2,027.12","5,829,612.86"
,Invoice,2025-10-07,CR/INV/2526/07589,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,10.000,"2,533.90","5,832,146.76"
,Invoice,2025-10-07,CR/INV/2526/07590,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,24.860,"6,299.27","5,838,446.03"
,Invoice,2025-10-07,CR/INV/2526/07591,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,10.000,"2,533.90","5,840,979.93"
,Invoice,2025-10-07,CR/INV/2526/07592,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,5.000,"1,266.95","5,842,246.87"
,Cash Sales,2025-10-07,CASH/INV/2425/02139,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1571.419,"398,181.91","6,240,428.78"
,Cash Sales,2025-10-07,CASH/INV/2425/02152,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,248.000,"62,840.72","6,303,269.50"
,Cash Sales,2025-10-07,CASH/INV/2425/02153,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,803.237,"203,532.29","6,506,801.79"
,Invoice,2025-10-08,CR/INV/2526/07575,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.000,"2,027.12","6,508,828.91"
,Invoice,2025-10-08,CR/INV/2526/07578,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,277.157,"70,228.81","6,579,057.72"
,Invoice,2025-10-08,CR/INV/2526/07579,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,51.906,"13,152.54","6,592,210.26"
,Invoice,2025-10-08,CR/INV/2526/07580,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,28.000,"7,094.92","6,599,305.18"
,Invoice,2025-10-08,CR/INV/2526/07581,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.000,"2,027.12","6,601,332.30"
,Invoice,2025-10-08,CR/INV/2526/07582,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","6,602,852.64"
,Invoice,2025-10-08,CR/INV/2526/07583,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.000,"1,013.56","6,603,866.20"
,Invoice,2025-10-08,CR/INV/2526/07619,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,567.658,"143,838.98","6,747,705.18"
,Invoice,2025-10-08,CR/INV/2526/07620,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.348,"1,101.70","6,748,806.87"
,Invoice,2025-10-08,CR/INV/2526/07621,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.000,"2,027.12","6,750,833.99"
,Invoice,2025-10-08,CR/INV/2526/07622,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,32.810,"8,313.72","6,759,147.71"
,Invoice,2025-10-08,CR/INV/2526/07623,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,7.610,"1,928.30","6,761,076.01"
,Invoice,2025-10-08,CR/INV/2526/07624,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.430,"2,136.08","6,763,212.09"
,Cash Sales,2025-10-08,CASH/INV/2425/02148,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,95.000,"24,072.05","6,787,284.14"
,Cash Sales,2025-10-08,CASH/INV/2425/02150,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,739.937,"187,492.56","6,974,776.70"
,Cash Sales,2025-10-08,CASH/INV/2425/02164,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1467.144,"371,759.55","7,346,536.25"
,Cash Sales,2025-10-08,CASH/INV/2425/02170,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,50.000,"12,669.50","7,359,205.75"
,Invoice,2025-10-09,CR/INV/2526/07603,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,470.976,"119,340.68","7,478,546.43"
,Invoice,2025-10-09,CR/INV/2526/07604,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,15.000,"3,800.85","7,482,347.27"
,Invoice,2025-10-09,CR/INV/2526/07605,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.000,"1,013.56","7,483,360.83"
,Invoice,2025-10-09,CR/INV/2526/07606,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.000,"1,013.56","7,484,374.39"
,Invoice,2025-10-09,CR/INV/2526/07607,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.000,"1,013.56","7,485,387.95"
,Invoice,2025-10-09,CR/INV/2526/07608,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.000,"1,013.56","7,486,401.51"
,Invoice,2025-10-09,CR/INV/2526/07609,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.000,506.78,"7,486,908.29"
,Invoice,2025-10-09,CR/INV/2526/07610,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,11.000,"2,787.29","7,489,695.58"
,Invoice,2025-10-09,CR/INV/2526/07611,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,30.000,"7,601.70","7,497,297.27"
,Invoice,2025-10-09,CR/INV/2526/07659,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,276.488,"70,059.32","7,567,356.59"
,Invoice,2025-10-09,CR/INV/2526/07660,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,66.221,"16,779.66","7,584,136.25"
,Invoice,2025-10-09,CR/INV/2526/07661,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,7.410,"1,877.62","7,586,013.87"
,Invoice,2025-10-09,CR/INV/2526/07662,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,35.000,"8,868.64","7,594,882.52"
,Cash Sales,2025-10-09,CASH/INV/2425/02154,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,42.000,"10,642.38","7,605,524.90"
,Cash Sales,2025-10-09,CASH/INV/2425/02161,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,715.024,"181,179.87","7,786,704.77"
,Cash Sales,2025-10-09,CASH/INV/2425/02179,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,370.000,"93,754.30","7,880,459.07"
,Cash Sales,2025-10-09,CASH/INV/2425/02182,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1559.881,"395,258.31","8,275,717.37"
,Invoice,2025-10-10,CR/INV/2526/07677,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,632.675,"160,313.56","8,436,030.93"
,Invoice,2025-10-10,CR/INV/2526/07678,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,52.682,"13,349.15","8,449,380.09"
,Invoice,2025-10-10,CR/INV/2526/07679,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,43.000,"10,895.76","8,460,275.85"
,Invoice,2025-10-10,CR/INV/2526/07680,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,7.000,"1,773.73","8,462,049.58"
,Invoice,2025-10-10,CR/INV/2526/07681,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,33.180,"8,407.48","8,470,457.05"
,Invoice,2025-10-10,CR/INV/2526/07682,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.000,506.78,"8,470,963.83"
,Invoice,2025-10-10,CR/INV/2526/07683,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.460,"1,636.90","8,472,600.73"
,Invoice,2025-10-10,CR/INV/2526/07745,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,295.485,"74,872.88","8,547,473.61"
,Invoice,2025-10-10,CR/INV/2526/07746,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,32.809,"8,313.56","8,555,787.17"
,Invoice,2025-10-10,CR/INV/2526/07747,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,5.000,"1,266.95","8,557,054.12"
,Invoice,2025-10-10,CR/INV/2526/07748,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","8,558,574.46"
,Invoice,2025-10-10,CR/INV/2526/07749,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","8,560,094.80"
,Invoice,2025-10-10,CR/INV/2526/07750,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,7.000,"1,773.73","8,561,868.53"
,Invoice,2025-10-10,CR/INV/2526/07751,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,34.310,"8,693.81","8,570,562.33"
,Invoice,2025-10-10,CR/INV/2526/07752,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","8,572,082.67"
,Invoice,2025-10-10,CR/INV/2526/07753,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","8,573,603.01"
,Cash Sales,2025-10-10,CASH/INV/2425/02188,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,120.000,"30,406.80","8,604,009.81"
,Cash Sales,2025-10-10,CASH/INV/2425/02191,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1536.003,"389,207.71","8,993,217.52"
,Cash Sales,2025-10-10,CASH/INV/2425/02193,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,103.000,"26,099.17","9,019,316.69"
,Cash Sales,2025-10-10,CASH/INV/2425/02218,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,927.396,"234,992.86","9,254,309.55"
,Invoice,2025-10-11,CR/INV/2526/07694,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,589.976,"149,494.07","9,403,803.62"
,Invoice,2025-10-11,CR/INV/2526/07695,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,48.495,"12,288.14","9,416,091.76"
,Invoice,2025-10-11,CR/INV/2526/07696,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,3.350,848.86,"9,416,940.61"
,Invoice,2025-10-11,CR/INV/2526/07697,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","9,418,460.95"
,Invoice,2025-10-11,CR/INV/2526/07698,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.000,"1,520.34","9,419,981.29"
,Invoice,2025-10-11,CR/INV/2526/07699,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.000,"1,013.56","9,420,994.85"
,Invoice,2025-10-11,CR/INV/2526/07700,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.000,"1,013.56","9,422,008.41"
,Invoice,2025-10-11,CR/INV/2526/07718,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,469.565,"118,983.05","9,540,991.46"
,Invoice,2025-10-11,CR/INV/2526/07719,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,80.829,"20,481.36","9,561,472.81"
,Invoice,2025-10-11,CR/INV/2526/07720,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.500,"2,407.20","9,563,880.02"
,Cash Sales,2025-10-11,CASH/INV/2425/02197,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,81.000,"20,524.59","9,584,404.61"
,Cash Sales,2025-10-11,CASH/INV/2425/02200,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,400.179,"101,401.32","9,685,805.93"
,Cash Sales,2025-10-11,CASH/INV/2425/02208,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1897.106,"480,707.62","10,166,513.55"
,Invoice,2025-10-12,CR/INV/2526/07724,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,616.167,"156,130.51","10,322,644.06"
,Invoice,2025-10-12,CR/INV/2526/07725,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,158.294,"40,110.17","10,362,754.23"
,Invoice,2025-10-12,CR/INV/2526/07754,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,669.150,"169,555.93","10,532,310.16"
,Invoice,2025-10-12,CR/INV/2526/07755,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,105.853,"26,822.03","10,559,132.19"
,Invoice,2025-10-12,CR/INV/2526/07756,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,23.420,"5,934.39","10,565,066.58"
,Cash Sales,2025-10-12,CASH/INV/2425/02212,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,19.539,"4,950.98","10,570,017.57"
,Cash Sales,2025-10-12,CASH/INV/2425/02221,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1683.577,"426,601.63","10,996,619.19"
,Invoice,2025-10-13,CR/INV/2526/07765,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,373.147,"94,551.70","11,091,170.89"
,Invoice,2025-10-13,CR/INV/2526/07766,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,25.084,"6,355.93","11,097,526.82"
,Invoice,2025-10-13,CR/INV/2526/07767,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,30.000,"7,601.70","11,105,128.52"
