tank_name,Type,timestamp,Number,Class,tank_name2,fuel_type,qty,Amount,balance,tank_id,station_id
Petrol Tank 01,Invoice,2025-10-02,CR/INV/2526/07384,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,41.89,"10,614.50",1505950.63,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-02,CR/INV/2526/07385,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,33.445,"8,474.58",1514425.21,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-02,CASH/INV/2425/02066,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,47.573,"12,054.57",1526479.78,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-02,CASH/INV/2425/02067,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,118.0,"29,900.02",1556379.79,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-02,CASH/INV/2425/02076,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1897.769,"480,875.80",2037255.59,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-02,CASH/INV/2425/02077,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,119.0,"30,153.41",2067409.0,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07410,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,653.515,"165,594.07",2233003.07,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07411,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,94.859,"24,036.44",2257039.51,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07412,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.61,"2,435.04",2259474.55,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07413,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1.0,253.39,2259727.94,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07414,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.6,"2,432.54",2262160.48,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07415,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,33.94,"8,600.05",2270760.53,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07416,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,36.72,"9,304.48",2280065.01,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07417,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.0,"2,027.12",2282092.13,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07418,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,5.86,"1,484.86",2283576.99,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07419,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,183.813,"46,576.27",2330153.26,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07444,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,783.448,"198,517.80",2528671.06,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07445,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,10.033,"2,542.37",2531213.43,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07446,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.94,"1,758.53",2532971.96,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07447,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,10.61,"2,688.47",2535660.42,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-03,CR/INV/2526/07448,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,27.76,"7,034.10",2542694.52,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-03,CASH/INV/2425/02086,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,337.896,"85,619.50",2628314.02,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-03,CASH/INV/2425/02087,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,582.187,"147,520.47",2775834.49,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-03,CASH/INV/2425/02093,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1683.209,"426,508.31",3202342.8,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-04,CR/INV/2526/07452,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,253.11,"64,135.59",3266478.4,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-04,CR/INV/2526/07453,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,61.538,"15,593.22",3282071.62,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-04,CR/INV/2526/07472,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,651.24,"165,017.80",3447089.41,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-04,CR/INV/2526/07473,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,77.257,"19,576.27",3466665.69,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-04,CASH/INV/2425/02095,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,403.351,"102,205.20",3568870.89,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-04,CASH/INV/2425/02105,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2113.502,"535,540.31",4104411.2,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07480,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,722.461,"183,064.41",4287475.61,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07481,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,74.582,"18,898.31",4306373.91,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07495,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,678.367,"171,891.53",4478265.44,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07496,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,51.672,"13,093.22",4491358.66,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07497,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.0,506.78,4491865.44,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07498,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.0,506.78,4492372.22,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07499,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.0,506.78,4492879.0,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07500,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.0,"1,520.34",4494399.34,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07501,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.0,"2,027.12",4496426.46,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07502,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.0,"1,520.34",4497946.8,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07503,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.0,"2,027.12",4499973.92,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07504,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.0,"2,027.12",4502001.03,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07505,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.0,"1,520.34",4503521.37,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-05,CR/INV/2526/07506,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.0,"2,027.12",4505548.49,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-05,CASH/INV/2425/02110,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,26.957,"6,830.64",4512379.14,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-05,CASH/INV/2425/02119,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2310.96,"585,574.25",5097953.39,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-06,CR/INV/2526/07512,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,524.809,"132,981.36",5230934.75,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-06,CR/INV/2526/07513,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,37.759,"9,567.80",5240502.54,Petrol Tank 01,ST001
